GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US0107000,0107000,"Birmingham city, Alabama",206215,8340
1600000US0121184,0121184,"Dothan city, Alabama",62837,2684
1600000US0135896,0135896,"Hoover city, Alabama",72625,6572
1600000US0137000,0137000,"Huntsville city, Alabama",167121,5428
1600000US0150000,0150000,"Mobile city, Alabama",189476,6735
1600000US0151000,0151000,"Montgomery city, Alabama",200834,3084
1600000US0177256,0177256,"Tuscaloosa city, Alabama",77430,4191
1600000US0203000,0203000,"Anchorage municipality, Alaska",279671,*****
1600000US0404720,0404720,"Avondale city, Arizona",68793,7677
1600000US0412000,0412000,"Chandler city, Arizona",227940,12177
1600000US0427400,0427400,"Gilbert town, Arizona",195090,8977
1600000US0427820,0427820,"Glendale city, Arizona",235940,12406
1600000US0446000,0446000,"Mesa city, Arizona",479415,15865
1600000US0454050,0454050,"Peoria city, Arizona",152107,9336
1600000US0455000,0455000,"Phoenix city, Arizona",1513777,21479
1600000US0465000,0465000,"Scottsdale city, Arizona",213877,10373
1600000US0471510,0471510,"Surprise city, Arizona",107832,7513
1600000US0473000,0473000,"Tempe city, Arizona",168588,11060
1600000US0477000,0477000,"Tucson city, Arizona",519260,11881
1600000US0485540,0485540,"Yuma city, Arizona",99285,6017
1600000US0523290,0523290,"Fayetteville city, Arkansas",69161,5071
1600000US0524550,0524550,"Fort Smith city, Arkansas",83000,4423
1600000US0541000,0541000,"Little Rock city, Arkansas",198196,6216
1600000US0566080,0566080,"Springdale city, Arkansas",65161,5331
1600000US0600562,0600562,"Alameda city, California",75642,6407
1600000US0600884,0600884,"Alhambra city, California",88393,7561
1600000US0602000,0602000,"Anaheim city, California",342856,16199
1600000US0602252,0602252,"Antioch city, California",104426,7963
1600000US0602364,0602364,"Apple Valley town, California",69835,7377
1600000US0602553,0602553,"Arden-Arcade CDP, California",88615,5410
1600000US0603526,0603526,"Bakersfield city, California",324540,11127
1600000US0603666,0603666,"Baldwin Park city, California",76945,8390
1600000US0604982,0604982,"Bellflower city, California",69477,7658
1600000US0606000,0606000,"Berkeley city, California",111680,5974
1600000US0608786,0608786,"Buena Park city, California",85992,8490
1600000US0608954,0608954,"Burbank city, California",96972,7251
1600000US0611194,0611194,"Carlsbad city, California",95796,7106
1600000US0611530,0611530,"Carson city, California",98731,10328
1600000US0613014,0613014,"Chico city, California",83460,4963
1600000US0613210,0613210,"Chino city, California",83914,8228
1600000US0613214,0613214,"Chino Hills city, California",78212,7873
1600000US0613392,0613392,"Chula Vista city, California",227336,11597
