GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23
3100000US27100,27100,"Jackson, MI Metro Area",82040,2289,43874,1455,38166,1579,25466,1112,30730,1944,21070,1296,44835,1893,26348,1492,18487,1381,4.0,1.6,4.1,1.8,3.8,2.6,3.2,1.4,2.6,1.5,4.1,2.5,16.4,3.3,13.3,3.6,20.8,5.3,20.3,2.7,13.5,3.2,29.9,5.1,23.3,2.9,24.2,4.2,22.1,4.1,16.0,2.7,19.4,3.9,11.3,3.2,4.8,1.4,5.8,2.0,3.3,1.6,7.3,1.9,10.9,3.2,2.2,1.2,4.7,1.5,6.2,2.0,2.5,1.8,(X),(X),43998,3155,31878,1870,45000,2424,50267,2760,37495,3278,29747,2076,35194,2896,25230,1882,20598,3876,25184,6235,13451,9094,23246,3987,26913,2943,21279,1506,32687,3544,41513,3511,24261,2788,45669,6538,58299,5125,36047,3833,50683,11103,51441,38073,49568,21234,11.1,(X),(X),(X),(X),(X)
3100000US27140,27140,"Jackson, MS Metro Area",278724,4552,139816,2958,138908,2935,26238,747,31993,1243,22233,980,168386,5336,92642,3479,75744,3782,3.5,1.0,3.1,1.3,3.9,1.3,6.8,1.1,5.3,1.4,8.7,1.7,19.7,1.8,14.9,2.0,25.5,2.7,17.7,1.7,15.7,2.1,20.1,2.7,20.3,1.6,20.8,2.4,19.7,2.5,12.9,1.4,13.9,2.0,11.6,1.8,4.6,0.7,5.2,0.9,4.0,1.1,7.2,1.0,9.8,1.5,4.0,1.2,7.3,1.0,11.2,1.7,2.5,0.9,(X),(X),41667,1342,30475,1525,48775,2535,59115,4090,36128,1462,31211,816,37886,2555,25921,964,15757,1990,18209,2497,11751,2790,23307,1806,27098,2503,20240,1523,29723,1530,36415,2347,24636,1623,41388,1601,55133,6779,33393,2432,53446,4517,76337,8893,45960,3057,17.2,(X),(X),(X),(X),(X)
3100000US27180,27180,"Jackson, TN Metro Area",60129,2419,31432,1402,28697,1657,24853,1620,30941,1664,20087,3149,35152,2494,19910,1576,15242,1611,2.4,1.6,0.7,0.7,4.6,3.4,6.9,2.4,4.6,2.6,9.9,4.1,17.1,3.1,11.9,3.5,23.9,5.5,19.2,4.1,18.9,5.4,19.6,5.8,28.1,4.0,30.2,6.2,25.2,5.2,11.7,2.1,12.9,3.2,10.1,3.5,3.2,1.7,3.9,2.6,2.3,2.0,6.0,2.1,8.2,3.2,3.1,1.9,5.4,1.8,8.6,3.0,1.3,1.1,(X),(X),39545,2785,30159,2784,45356,3383,53874,5560,34228,2519,30466,1363,36556,1710,24330,1661,17969,8414,21327,5604,7151,7299,26004,2367,35221,3281,20644,3318,28786,4771,36271,3247,22579,4274,36512,4890,45912,9692,30060,6199,51686,9195,60530,28118,44784,9327,12.3,(X),(X),(X),(X),(X)
3100000US27260,27260,"Jacksonville, FL Metro Area",715979,7628,372872,5123,343107,5628,30338,421,36004,686,24584,739,434714,8682,250735,5232,183979,6261,1.3,0.3,0.9,0.4,1.9,0.5,4.0,0.6,3.3,0.7,5.1,1.0,17.7,1.2,13.9,1.2,22.8,1.9,19.7,1.1,16.8,1.4,23.6,1.7,23.6,1.1,23.0,1.5,24.5,1.7,13.1,0.9,14.8,1.1,10.8,1.4,5.5,0.6,6.8,0.9,3.7,0.7,6.9,0.7,9.0,1.0,4.1,0.8,8.2,0.6,11.6,0.9,3.6,0.7,(X),(X),43937,1837,33204,970,51456,1397,59707,2046,40211,1020,34004,670,40992,608,27720,957,19297,1843,23020,2204,15677,1168,27350,1067,33947,1957,22540,990,34191,1010,41062,943,29663,1582,47473,1908,60395,2530,37416,1630,54126,4098,74159,6138,44807,3122,18.9,(X),(X),(X),(X),(X)
3100000US27340,27340,"Jacksonville, NC Metro Area",94664,2291,60101,1406,34563,1884,22947,1000,23761,970,20262,1931,64389,2627,46798,2058,17591,1938,2.1,0.9,1.9,0.9,2.9,1.8,8.7,1.7,7.9,1.9,11.0,4.1,34.9,3.1,39.4,3.4,22.9,4.6,21.4,2.7,18.7,3.1,28.6,6.2,16.2,2.4,16.5,2.9,15.3,4.7,7.8,1.6,6.5,1.2,11.6,4.2,3.4,1.4,3.2,1.8,4.0,2.7,3.0,1.0,3.7,1.3,1.1,0.9,2.3,0.9,2.2,0.9,2.6,1.9,(X),(X),25311,1262,28716,1819,33935,1543,33598,1800,34832,3277,29759,1745,35622,2061,23440,2279,26606,7586,29146,10297,15982,5794,25960,2486,30644,2625,15543,2202,28732,2840,38740,5433,22550,3148,37085,2035,57996,13595,35416,1897,50317,12523,75748,15742,36094,10539,7.8,(X),(X),(X),(X),(X)
3100000US27500,27500,"Janesville, WI Metro Area",90948,1971,46867,1435,44081,1406,27576,1323,33169,3011,21207,1693,50806,2008,30690,1351,20116,1365,1.2,0.7,1.2,0.8,1.3,1.0,5.4,1.4,3.8,1.6,7.9,2.3,17.4,2.3,14.6,3.1,21.7,4.2,22.9,2.4,19.0,3.0,28.9,4.5,22.3,2.7,22.8,3.4,21.5,4.4,14.8,1.9,17.2,2.5,11.1,2.7,5.7,1.4,7.0,2.1,3.7,1.7,5.9,1.3,7.7,2.0,3.2,1.4,4.4,1.1,6.8,1.7,0.6,0.7,(X),(X),42136,1631,32048,1388,45014,1953,51312,3091,35407,1734,31230,862,39756,2449,24827,1675,20988,2187,25046,3557,11859,2905,27845,2425,35559,4087,22811,1832,31862,1586,42744,2977,23497,2866,40781,3555,53953,5060,34428,5425,48101,4695,45492,11325,48997,3583,10.4,(X),(X),(X),(X),(X)
3100000US27620,27620,"Jefferson City, MO Metro Area",80126,2013,41032,2083,39094,1797,26552,796,30580,2214,23937,1134,49298,2479,26452,2155,22846,1729,1.9,0.8,2.3,1.2,1.4,1.2,4.6,1.4,3.9,1.9,5.4,2.5,19.0,3.2,10.6,2.7,28.6,5.3,27.5,3.8,24.3,4.9,31.2,4.8,22.8,3.1,26.4,4.5,18.7,3.7,12.9,2.2,15.1,2.9,10.4,3.0,4.0,1.1,5.6,2.0,2.1,1.2,4.0,1.3,6.2,2.2,1.4,0.9,3.3,1.3,5.5,2.3,0.8,0.9,(X),(X),40610,2191,29364,1565,41386,2214,48819,4026,32779,1630,30546,1140,35503,2804,26970,946,19675,4981,22960,6416,15766,9311,25738,1417,29429,2521,22165,2076,29175,3076,34697,6890,24759,2210,40511,2272,44063,4114,35243,3938,43596,6052,45053,10650,39967,4188,17.0,(X),(X),(X),(X),(X)
3100000US27740,27740,"Johnson City, TN Metro Area",101943,2414,54541,1695,47402,1810,22593,1531,27729,3133,17783,2572,57926,3223,34602,2231,23324,2290,4.3,1.7,4.2,1.8,4.4,2.2,6.7,2.1,4.8,2.1,9.6,4.3,23.0,3.2,19.4,4.3,28.4,4.7,19.2,3.2,17.2,3.9,22.2,4.5,19.0,3.2,23.9,3.9,11.8,4.2,13.5,2.6,15.1,3.5,11.3,3.5,3.6,1.2,2.7,1.2,4.8,2.2,5.2,1.6,6.8,2.4,2.9,1.8,5.5,1.7,6.0,2.3,4.7,2.5,(X),(X),37241,2520,26784,1217,42567,2517,44670,3221,39446,4297,26147,1479,32291,2617,21236,1785,17336,4551,20897,2685,13267,3157,22307,1555,27656,2817,17336,1528,26609,1793,35669,4943,21871,2038,38209,3592,41081,6166,28259,9896,49840,5896,56764,6575,42547,12675,18.2,(X),(X),(X),(X),(X)
3100000US27780,27780,"Johnstown, PA Metro Area",73652,1897,40276,1085,33376,1474,22215,814,27383,1625,18297,1509,39528,1491,24048,1051,15480,1055,2.4,0.7,2.3,0.9,2.6,1.2,5.9,1.4,5.3,2.0,6.9,2.2,25.4,2.9,18.0,3.2,36.9,5.0,20.0,2.7,20.6,3.2,18.9,3.8,21.1,2.4,23.9,3.2,16.8,3.5,14.1,2.7,14.1,2.5,14.1,4.3,3.8,1.1,5.2,1.8,1.7,1.2,4.0,1.3,5.9,1.8,1.1,1.1,3.2,1.0,4.7,1.7,0.9,0.9,(X),(X),36554,1666,26150,2043,41747,2965,47600,4785,32653,2028,26612,1019,32045,1397,21464,1160,17617,4280,19258,2827,14056,5165,22740,1314,29233,1860,16417,2152,30356,3990,33417,3074,26422,2842,37328,4343,45440,3551,26575,5649,48855,7445,47001,16088,49611,6843,12.5,(X),(X),(X),(X),(X)
3100000US27860,27860,"Jonesboro, AR Metro Area",63714,2387,33666,1566,30048,1455,23339,2142,27143,1696,18315,1518,34479,2368,20100,1639,14379,1350,2.1,1.0,2.3,1.4,1.9,1.4,5.5,2.0,4.4,2.2,7.0,3.1,19.9,4.0,15.7,4.1,25.8,5.8,28.7,4.3,30.6,6.4,26.0,5.6,16.1,3.3,15.1,4.2,17.4,4.4,15.2,3.3,16.0,4.2,13.9,5.1,3.7,1.6,5.2,2.7,1.5,1.1,5.8,1.8,6.9,2.5,4.2,2.3,3.1,1.2,3.8,1.8,2.2,1.7,(X),(X),32816,3119,30214,2460,40850,2613,44066,4034,36355,2794,27643,1942,31276,1242,23815,2613,17374,5269,19735,2629,9702,6354,26244,1590,29720,2210,20411,2408,26703,3525,32727,5319,22887,5759,38452,5520,45095,11259,35000,6666,51401,5433,57027,29120,47398,5951,11.6,(X),(X),(X),(X),(X)
