GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining:","Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining:","Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting","Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting","Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction","Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction",Estimate; Total: - Construction,Margin of Error; Total: - Construction,Estimate; Total: - Manufacturing,Margin of Error; Total: - Manufacturing,Estimate; Total: - Wholesale trade,Margin of Error; Total: - Wholesale trade,Estimate; Total: - Retail trade,Margin of Error; Total: - Retail trade,"Estimate; Total: - Transportation and warehousing, and utilities:","Margin of Error; Total: - Transportation and warehousing, and utilities:","Estimate; Total: - Transportation and warehousing, and utilities: - Transportation and warehousing","Margin of Error; Total: - Transportation and warehousing, and utilities: - Transportation and warehousing","Estimate; Total: - Transportation and warehousing, and utilities: - Utilities","Margin of Error; Total: - Transportation and warehousing, and utilities: - Utilities",Estimate; Total: - Information,Margin of Error; Total: - Information,"Estimate; Total: - Finance and insurance, and real estate and rental and leasing:","Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing:","Estimate; Total: - Finance and insurance, and real estate and rental and leasing: - Finance and insurance","Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing: - Finance and insurance","Estimate; Total: - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing","Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services:","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services:","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises","Estimate; Total: - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services","Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services","Estimate; Total: - Educational services, and health care and social assistance:","Margin of Error; Total: - Educational services, and health care and social assistance:","Estimate; Total: - Educational services, and health care and social assistance: - Educational services","Margin of Error; Total: - Educational services, and health care and social assistance: - Educational services","Estimate; Total: - Educational services, and health care and social assistance: - Health care and social assistance","Margin of Error; Total: - Educational services, and health care and social assistance: - Health care and social assistance","Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services:","Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services:","Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation","Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation","Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services","Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services",Estimate; Total: - Other services except public administration,Margin of Error; Total: - Other services except public administration,Estimate; Total: - Public administration,Margin of Error; Total: - Public administration
1600000US0107000,0107000,"Birmingham city, Alabama",32363,2063,-,**,-,**,-,**,32289,3930,31371,1571,23016,5226,25158,2042,50160,6348,40902,7020,52355,28610,42343,30470,38529,13412,37815,15429,40988,22279,40848,19664,65722,12907,-,**,26235,6201,34176,4559,47914,7578,30126,2136,23389,5455,36794,15127,20526,5250,30592,6053,42140,3596
1600000US0121184,0121184,"Dothan city, Alabama",40268,2054,49342,39300,49342,39300,-,**,35883,6101,43542,10194,40785,5010,31279,3575,54808,13402,46667,16833,100246,15409,45738,14582,40625,8408,42638,6025,34583,7710,35962,15618,57616,12959,-,**,32752,4210,45968,2649,48984,3549,43780,4472,24140,2799,28625,7001,23186,3522,34375,15174,54119,6522
1600000US0135896,0135896,"Hoover city, Alabama",57079,4631,-,**,-,**,-,**,90462,72462,70922,20703,110018,94591,42039,16428,81500,36489,34746,120786,81596,43961,51303,45478,71276,23932,70383,26694,143009,189590,53255,16493,54583,27934,-,**,50327,17664,53277,4493,62791,11278,51054,2840,31585,22603,66082,49090,23992,12698,46597,29733,78085,10971
1600000US0137000,0137000,"Huntsville city, Alabama",45940,4355,42048,135751,41460,88987,-,**,41670,28541,49297,10185,53411,44433,30175,5468,51166,44542,46100,35332,139364,42794,58216,21914,36933,14993,37207,23453,31286,41428,70636,9184,80848,12893,81189,41787,26042,8464,41738,5300,46530,4973,36911,6241,25675,6003,26806,21276,25449,6129,31936,2283,95098,12290
1600000US0150000,0150000,"Mobile city, Alabama",39526,2754,33780,21598,33720,20227,-,**,37194,17689,55939,7140,43891,8866,26021,3685,41197,11181,35350,6054,70225,13578,37165,33452,56478,5410,60568,15284,51887,21893,42192,12678,65628,21058,-,**,23686,6501,40575,3496,41076,5451,40297,7180,26955,6163,38029,30295,26643,5883,36635,3585,50041,5035
1600000US0151000,0151000,"Montgomery city, Alabama",37876,2881,-,**,-,**,-,**,27819,11795,40413,4651,42945,33764,25991,5377,41339,9913,41083,11892,-,**,48526,20537,40966,14882,41668,17139,29481,5973,56865,10557,76206,10102,-,**,21459,3821,36421,7257,43733,5620,31604,1242,21291,1769,22284,20332,20296,4386,35449,7813,49500,5907
1600000US0177256,0177256,"Tuscaloosa city, Alabama",41227,6925,-,**,-,**,-,**,49369,24201,32295,10599,79559,61408,30593,5827,42248,14018,45333,18395,-,**,100246,103790,50586,3500,52487,27912,44688,25923,36955,15727,75581,44511,-,**,23335,14584,50585,4351,51007,3287,47340,10674,21546,13614,-,**,20426,12231,33826,22846,65609,20469
1600000US0203000,0203000,"Anchorage municipality, Alaska",53139,3739,110712,17375,50208,27851,120019,13767,51928,3382,56462,21929,48239,36565,35585,6479,58167,5831,53772,5791,95606,7580,85799,41668,61444,18916,62588,12740,50383,19335,66536,13646,77090,8770,110119,72679,55681,9204,55614,7612,59054,13529,54156,9406,29756,6449,40988,26486,29418,6403,41483,5757,67354,2379
1600000US0404720,0404720,"Avondale city, Arizona",38715,3302,-,**,-,**,-,**,39947,10842,47025,19444,51516,13002,35093,8071,37495,7383,35791,7991,52243,18023,45370,20307,41792,10538,41922,12239,34727,43700,32424,13981,60766,34944,-,**,25821,7144,40549,15418,42195,27270,40159,17948,26351,9025,18272,14303,30977,9568,38993,11168,41677,7729
