Median earnings 2007,Id,Population 2007,Median earnings 2017,Population 2017,Geography,"Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Agriculture, forestry, fishing and hunting, and mining: - Mining 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Construction 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Manufacturing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Wholesale trade 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Retail trade 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Transportation and warehousing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Transportation and warehousing, and utilities: - Utilities 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Information 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Educational services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Educational services, and health care and social assistance: - Health care and social assistance 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over with earnings - Public administration 2007","Total; Estimate; Full-time, year-round civilian employed population 16 years and over 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting 2017","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction 2017",Total; Estimate; Construction 2017,Total; Estimate; Manufacturing 2017,Total; Estimate; Wholesale trade 2017,Total; Estimate; Retail trade 2017,"Total; Estimate; Transportation and warehousing, and utilities: - Transportation and warehousing 2017","Total; Estimate; Transportation and warehousing, and utilities: - Utilities 2017",Total; Estimate; Information 2017,"Total; Estimate; Finance and insurance, and real estate and rental and leasing: - Finance and insurance 2017","Total; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises 2017","Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services 2017","Total; Estimate; Educational services, and health care and social assistance: - Educational services 2017","Total; Estimate; Educational services, and health care and social assistance: - Health care and social assistance 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation 2017","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services 2017",Total; Estimate; Public administration 2017
31801,1600000US0653000,358829,40234,425204,"Oakland city, California",104226,0,121,6904,9594,3520,9237,5296,937,4900,4833,2955,11352,87,5381,8335,12852,1719,5077,5323,152688,471,147,10621,11113,3814,14171,6178,1071,5190,6181,2997,23570,186,7436,14838,17957,3467,10671,5923
30192,1600000US0653322,168814,32425,176208,"Oceanside city, California",51624,49,152,4084,7834,1784,6255,1540,563,1166,1632,1069,5818,0,3363,1614,4453,1256,3036,3766,56642,1049,0,3221,8865,1272,6614,1709,658,1182,1673,851,4562,49,2760,3292,8192,741,3087,3843
26866,1600000US0653896,156027,30220,175850,"Ontario city, California",51117,262,0,6235,10025,3583,6265,3697,375,588,1875,808,1963,0,2873,1756,4559,488,1194,2114,58648,618,0,5320,8142,3012,6082,6431,367,908,2796,1358,2024,0,3788,3068,5228,611,3581,2775
32285,1600000US0653980,142097,36534,140557,"Orange city, California",44795,370,161,3851,6745,1911,3308,786,147,1063,4391,696,5208,173,2627,1720,3817,449,2248,2617,51861,143,0,5355,7135,2000,4195,1992,142,522,3230,1619,5111,154,2292,4301,5674,784,2154,1989
24500,1600000US0654652,167412,29096,210038,"Oxnard city, California",49025,2946,115,3627,8119,1825,4735,2153,210,491,2954,918,1832,122,2746,1774,4563,374,1978,4798,68526,7409,0,4683,10566,2315,6760,2075,145,542,2732,1315,2156,73,4332,2961,9408,843,4068,2769
27720,1600000US0655156,132266,29586,157507,"Palmdale city, California",34278,0,70,3956,5537,1643,3308,2091,433,766,1762,1219,1282,0,1861,1591,3663,279,1566,1955,42820,121,0,4670,6112,2188,4380,2830,552,882,1357,960,1374,0,2662,1918,5699,406,1853,2654
32349,1600000US0656000,136936,40341,142632,"Pasadena city, California",47210,62,0,2829,4048,1090,3693,804,525,2703,4408,749,5175,0,2881,4403,5914,911,2005,1851,54157,51,0,2686,2844,1223,3742,962,703,3223,3956,2192,5974,71,2559,6720,7544,1082,3227,2826
21382,1600000US0658072,142111,25215,152946,"Pomona city, California",40373,0,64,3458,9229,2076,4018,2962,752,529,2172,1180,1309,130,2910,964,3098,173,1158,1720,48222,354,153,5943,6929,2698,4756,4335,608,692,1769,483,2148,42,3384,1317,5247,645,2822,1524
38543,1600000US0659451,157777,40547,177446,"Rancho Cucamonga city, California",50640,86,0,3426,5659,3736,5325,3433,989,644,5105,1955,3511,63,709,2167,4836,1138,1814,4243,57674,0,39,3039,7361,1974,6598,4346,1109,443,2087,2863,4985,143,1686,4328,6862,208,2473,4800
22707,1600000US0660466,108969,26865,103555,"Rialto city, California",31772,179,0,4980,5403,1726,2772,2631,543,482,835,120,735,0,1846,1700,2435,70,1286,1279,31592,68,0,3227,3215,967,4075,5355,180,755,1077,575,734,0,1584,1515,3316,463,1445,1403
30763,1600000US0660620,97279,33981,110037,"Richmond city, California",27739,0,0,2754,1506,1382,2773,2160,211,351,1723,818,2555,0,1108,1281,3302,508,2578,1772,38339,243,0,2360,2609,904,2692,3590,0,913,1568,963,2470,51,2763,3162,5396,624,4428,1351
26091,1600000US0662000,316154,27207,327722,"Riverside city, California",94268,326,167,8512,16831,4068,10187,4704,699,3237,4117,2593,5079,48,5034,5828,9212,915,5808,3460,103636,552,278,9414,14956,3071,13187,5294,1698,1107,2941,2145,4593,0,4331,9616,13919,1147,4054,6582
41555,1600000US0662938,114958,45997,135325,"Roseville city, California",38395,0,0,3399,2979,1737,3910,1327,537,1320,4997,1339,2837,80,1439,1671,4825,0,962,2735,45652,44,0,3246,3726,1708,4319,1716,531,1251,4785,1074,4999,0,1633,2544,5867,664,890,4864
30055,1600000US0664000,451404,35064,501890,"Sacramento city, California",128792,489,69,8747,5963,4309,13007,4920,1734,3635,7449,3504,8720,0,8200,7092,16204,2108,6477,19297,164274,611,42,10816,9729,4406,13190,8461,1481,3831,9154,3227,13445,128,7949,13840,19651,3217,6727,26592
22139,1600000US0664224,140499,25922,157594,"Salinas city, California",33241,4459,0,2506,2617,1785,4324,757,573,630,1140,489,796,0,1546,1731,3915,152,1598,2634,45132,6851,0,3446,2805,1108,3849,2484,738,784,985,427,1296,34,3649,2933,5815,710,3017,2953
23676,1600000US0665000,203691,25198,216983,"San Bernardino city, California",52564,373,196,6352,4789,2740,4710,3795,751,621,1051,1332,998,0,3259,2943,7622,1293,3240,3593,54783,266,210,4655,6019,2048,6158,7608,285,232,1471,1356,1394,0,4026,2565,8512,911,2424,2664
33497,1600000US0665042,105673,35688,110784,"San Buenaventura (Ventura) city, California",33009,280,98,3040,3671,1592,4920,837,921,841,1437,636,2342,0,1310,1525,4248,316,1139,2940,36081,1091,304,2853,2729,818,2274,1535,258,422,1206,708,3082,0,1701,3853,4598,367,2636,3113
33531,1600000US0666000,1276740,38044,1419488,"San Diego city, California",395905,271,130,22213,42841,13328,32596,12212,3572,15703,20738,11619,53315,645,16858,23546,43978,8404,26643,28674,494526,916,0,24563,56263,11654,41071,16368,4197,15079,24820,13368,69224,671,20178,37039,65850,12504,32796,28343
41791,1600000US0667000,764976,60093,884363,"San Francisco city, California",285588,129,0,13610,17666,6272,22499,10098,2065,16175,24997,8656,49461,525,12018,17722,28161,7585,24681,11443,378260,571,52,12701,19603,5958,29228,16726,2813,25061,27984,9794,93055,766,12055,23485,38167,8833,27652,12267
37163,1600000US0668000,922389,45345,1035353,"San Jose city, California",298364,1022,0,24160,72396,10032,25591,9742,2249,10675,9363,7691,30731,460,16521,13262,25099,3021,14829,9505,390652,1521,242,25795,78282,10206,28009,13231,1976,15755,14814,7452,58646,783,17013,21850,40971,4226,22134,14310
46622,1600000US0668252,91461,63223,104733,"San Mateo city, California",32996,0,0,1906,2692,1497,3305,1621,267,1745,2349,1156,5167,0,1166,1866,3469,210,1821,1090,39162,46,0,2396,4087,1195,3577,2158,97,1977,3354,835,7351,90,1061,2523,3635,367,1822,690
21224,1600000US0669000,327780,26043,334135,"Santa Ana city, California",100619,630,68,10207,23963,3172,11111,2790,292,2134,3254,1886,5080,191,8850,3027,6417,1133,8142,2050,115472,832,0,12464,25280,2412,10502,4008,124,1131,3862,2713,4268,31,11905,3610,11847,2058,9595,2487
46139,1600000US0669084,105591,56049,127131,"Santa Clara city, California",33242,0,0,1776,8942,911,1866,856,0,1627,356,833,6479,0,724,1307,3395,554,1667,683,47593,0,0,828,9529,1576,3024,1300,46,2752,669,776,13426,39,2233,2336,3996,766,1779,883
35308,1600000US0669088,177740,42273,210886,"Santa Clarita city, California",61090,427,0,4413,8700,1740,5904,3111,1046,4137,3845,1129,5168,0,2312,2866,5222,1729,3576,3119,72617,439,118,5428,9589,2348,6034,2652,1190,3095,3479,1641,6480,39,2435,4746,8879,3190,2683,4096
20639,1600000US0669196,86160,25116,107018,"Santa Maria city, California",22735,6130,156,1698,2103,552,1818,369,0,368,171,190,708,164,1301,886,2076,420,873,1279,36074,9080,281,2754,2602,648,4813,1121,160,154,713,305,1010,0,1952,1096,3361,141,1167,1749
31850,1600000US0670098,147516,36108,175269,"Santa Rosa city, California",43116,181,0,5321,6564,1623,6487,1662,491,795,2362,1420,2074,0,1515,896,4707,843,1887,2047,57614,1615,71,4794,8010,1433,6610,2035,970,671,1766,1494,4178,69,3402,2610,6432,1708,3631,3063
39825,1600000US0672016,127053,42782,126875,"Simi Valley city, California",48761,380,0,2848,6011,1821,3859,1187,416,2511,6962,1839,3000,42,2596,1738,5031,1667,3387,1454,41147,89,0,2574,5821,1106,3199,944,419,1448,5335,937,3274,22,1539,2907,4897,1049,1465,2203
24570,1600000US0675000,295070,28693,310476,"Stockton city, California",71610,3907,0,6895,8810,3482,8565,4560,708,1412,4526,1555,2561,0,3358,3377,8039,798,2456,3363,89442,3182,108,6766,8598,4037,9681,8281,1157,851,3082,1402,3160,0,5836,4612,11203,891,4727,6731
48461,1600000US0677000,135548,67670,153656,"Sunnyvale city, California",50451,95,0,2041,12310,1560,4271,732,92,2912,981,593,11929,345,2073,2196,2517,191,2785,1582,65614,117,0,1817,14884,1419,2918,1189,230,5970,1585,496,18645,127,2982,2519,5608,473,2555,823
32489,1600000US0678120,93743,41052,114318,"Temecula city, California",25990,0,0,2182,2433,1008,2337,899,170,579,1222,1248,2475,0,1038,2216,1669,1282,2892,1893,36188,104,0,2771,4120,1168,3751,1133,618,1585,2258,816,2923,63,519,2559,4206,1460,1766,3485
44231,1600000US0678582,128519,50174,128972,"Thousand Oaks city, California",37577,124,91,2648,5703,1214,2449,414,132,1546,6036,1767,4183,468,1056,2655,2346,446,1282,1675,42412,179,0,1654,5113,1467,3167,623,211,1632,4439,1143,5894,177,1249,3171,4981,1185,1907,2869
42196,1600000US0680000,143628,47588,146745,"Torrance city, California",47095,0,0,2485,9660,2589,3773,4014,568,1883,2809,1711,3979,0,1362,2302,4277,461,2274,1829,50417,0,66,2241,8178,2419,3379,3229,741,1953,3705,1384,5848,78,1237,3238,6059,1302,1830,2227
37292,1600000US0681554,93795,38168,100023,"Vacaville city, California",24503,70,0,1815,2458,490,2679,1565,477,627,1405,669,1727,46,1330,1007,2449,65,736,3520,29774,249,0,3290,2631,827,1293,1991,491,533,1329,741,1232,0,1648,2329,4614,246,1131,3648
32183,1600000US0681666,106608,35628,122086,"Vallejo city, California",30701,316,61,2687,3190,430,2943,2535,345,699,2497,1106,2114,0,1101,1472,4138,358,1303,1813,36371,168,25,3089,4079,720,3116,2494,349,547,2070,531,1805,59,1641,1834,6678,260,2623,1964
30734,1600000US0682954,115899,34574,133009,"Visalia city, California",33270,1531,0,5233,3242,1088,3042,1420,363,280,1083,1484,1347,44,920,1674,4246,202,1666,3224,40063,1074,10,2645,4200,1522,4062,2230,69,1531,1068,514,1694,0,1352,4190,6130,81,1506,4024
25102,1600000US0682996,97977,30692,101557,"Vista city, California",30954,215,0,3952,5105,1490,3608,1098,54,543,557,650,2125,0,2466,1531,1561,648,2111,2307,36914,1011,0,3905,5511,997,3388,1149,61,633,815,1227,1558,0,4566,2249,4377,388,1880,1763
30940,1600000US0684200,103154,36833,107623,"West Covina city, California",33059,0,0,2087,4698,1667,2413,2020,821,1322,2388,853,712,0,1263,1513,5412,464,1883,1940,37179,147,0,2194,4650,2578,4330,2352,467,717,1441,691,2291,0,1496,2206,6517,600,1529,1725
33445,1600000US0803455,108506,42388,118300,"Arvada city, Colorado",38375,94,244,4144,4813,1297,4832,2294,665,1198,2156,729,2586,58,1076,1528,4796,696,1099,2616,47922,281,607,5374,4786,1134,3327,1123,313,1462,2304,1599,4558,45,2175,4809,6676,881,1485,2931
29270,1600000US0804000,310413,33952,367250,"Aurora city, Colorado",105657,206,504,13012,6252,5672,9405,8329,591,5131,8564,3279,6519,358,5533,4014,11095,1108,7275,5647,141505,772,508,14177,7813,4647,14722,8167,712,5319,9866,3505,11190,45,9025,9039,17606,1691,10561,6209
20482,1600000US0807850,92569,25946,107128,"Boulder city, Colorado",26491,43,62,1000,2556,988,2354,438,145,991,1156,574,6465,118,432,3135,1794,768,1636,698,30604,314,143,986,2729,644,3376,129,165,1827,1272,525,5742,0,589,5038,2389,738,1082,1889
37147,1600000US0812815,102175,51055,110277,"Centennial city, Colorado",35378,130,255,2021,2412,1659,3095,1645,263,3222,4086,1352,5797,91,1159,1740,3321,455,223,1434,41340,42,445,3351,2338,1663,2933,1930,576,2025,3564,1295,6739,47,1429,3969,3884,513,1097,1868
27333,1600000US0816000,389490,32433,464470,"Colorado Springs city, Colorado",119142,174,116,10088,10821,2587,13260,3954,2039,4799,7185,2669,13540,179,5628,6543,12785,2007,5556,8084,150949,1001,242,11260,10966,2748,14664,6038,1248,3972,10475,3122,14916,0,6218,13774,19409,2163,10448,10436
30028,1600000US0820000,588349,41316,704621,"Denver city, Colorado",188757,354,949,19103,11984,4983,16107,10319,1255,8898,11641,6948,21036,369,9836,10611,20018,2658,13234,9064,302815,1316,2417,27235,19221,8689,22283,11598,1599,11241,22595,9246,40314,1115,12588,22163,36634,6101,21489,13813
21420,1600000US0827425,135717,26413,165089,"Fort Collins city, Colorado",38475,579,0,2953,6299,1195,2856,1249,323,882,2001,1241,3170,0,1370,4435,4397,296,834,2898,54002,1064,395,3740,7045,1476,4227,1169,780,833,3042,1111,5443,0,2047,8147,5429,723,3055,2125
19823,1600000US0832155,90005,30755,105457,"Greeley city, Colorado",27222,667,386,2292,4219,848,3736,766,478,466,1769,229,1475,672,750,2336,2585,332,1086,789,34339,879,2101,4535,4181,1736,3408,1079,111,731,1289,367,1407,0,1560,3344,3192,287,1105,1686
47485,1600000US0836410,94418,53774,107216,"Highlands Ranch CDP, Colorado",32163,0,607,1193,3042,2075,2937,669,232,3143,4095,1086,4844,92,1205,761,2196,363,1349,1640,39544,0,352,2594,3708,1076,3077,1425,502,2134,4617,790,6055,41,1776,2758,3604,523,1895,1765
31385,1600000US0843000,137390,36986,154952,"Lakewood city, Colorado",46814,169,171,5003,3453,1135,4815,2353,642,1663,2660,1326,4249,265,1586,2589,4948,662,2737,3176,61353,428,783,6349,5070,1406,8069,1944,561,1111,3254,1843,6038,128,2546,3526,5757,766,4573,4587
23639,1600000US0862000,102390,24074,111121,"Pueblo city, Colorado",26195,0,47,3312,1964,490,2880,562,505,732,859,139,461,0,1637,2522,4700,421,1040,2362,32162,465,81,1799,2267,788,4822,950,47,381,1817,740,1008,0,1799,2393,5743,398,2605,3235
34439,1600000US0877290,110594,37137,136992,"Thornton city, Colorado",41716,283,53,4601,5402,1571,4186,3589,320,2293,2467,683,2464,93,1255,1834,2574,205,2668,2120,52053,52,639,6196,4545,1205,5127,4281,616,2046,2650,425,3570,122,1881,2386,6427,1420,1810,3751
33623,1600000US0883835,106520,36292,112814,"Westminster city, Colorado",39861,0,161,3787,5157,1634,4309,2650,528,1909,2400,847,3129,147,970,2287,4448,639,1358,1762,46416,77,190,3958,5577,1602,4424,2320,108,1059,2657,602,4691,52,2134,3624,4261,984,2970,2609
26380,1600000US0908000,130973,25813,146582,"Bridgeport city, Connecticut",42199,96,0,4093,5369,783,6241,1458,265,1781,1383,550,1275,0,2763,2331,7907,235,3070,933,39775,0,0,3324,4148,870,3999,2025,470,707,1576,347,939,0,2232,1727,9131,924,3775,652
20552,1600000US0937000,117249,25003,123420,"Hartford city, Connecticut",29428,179,0,1380,3337,458,3101,767,114,675,3032,424,1499,68,1292,1327,6706,52,2085,1537,31108,0,0,2767,1609,424,3063,2910,148,794,2126,530,1189,0,2172,1410,6326,481,2029,1023
23507,1600000US0952000,123475,26890,131005,"New Haven city, Connecticut",33496,75,0,1685,4029,925,2194,1279,210,663,1669,481,1802,0,1378,5861,6391,212,2906,724,34995,116,0,1821,3031,1369,1758,885,303,339,1333,344,1946,164,1098,7475,9340,209,633,1126
36955,1600000US0973000,118200,45189,130835,"Stamford city, Connecticut",41710,0,0,3586,2842,824,3371,1426,102,1267,6584,939,4643,272,3181,2488,5429,610,2016,327,49852,0,0,2774,2736,583,5162,833,63,2594,6877,886,6104,150,4166,2739,6038,1064,3566,938
27501,1600000US0980000,116502,30076,108642,"Waterbury city, Connecticut",30286,0,68,1287,5646,502,3126,1501,186,850,1028,843,745,0,1100,2343,6242,251,872,2087,28777,0,0,2042,4766,1415,3628,704,198,227,1035,178,958,0,2002,1603,6571,235,679,1462
38814,1600000US1150000,588292,54604,693972,"Washington city, District of Columbia",199845,174,0,6972,2750,1300,10263,7144,305,10235,8108,5865,33416,539,9846,14098,19174,3856,10347,36605,287039,216,30,6205,3842,1811,8113,7454,897,10420,14108,8657,61818,91,8884,21924,21153,5377,16020,60820
32808,1600000US1208150,90470,32593,121190,"Brandon CDP, Florida",34459,0,53,2455,2178,1072,5429,1332,102,1394,3264,811,2734,50,2184,1733,3745,648,1823,1987,44324,187,0,1731,2096,1382,5298,2493,227,1003,4478,413,4511,124,3162,2407,6438,462,4495,2057
30415,1600000US1210275,149748,30825,183356,"Cape Coral city, Florida",50061,0,0,9110,3021,1746,6752,1568,585,1430,2153,2136,1752,0,2651,1602,6699,696,2668,3493,63114,284,0,9095,2594,994,7461,2417,1335,989,2382,1532,3113,297,3562,3365,11053,1486,4686,3508
23578,1600000US1212875,107430,29887,115501,"Clearwater city, Florida",37590,0,0,4331,3209,1316,3061,914,249,989,1581,1108,2661,168,1889,968,4023,603,3724,1898,38146,0,0,2347,3593,530,3770,3039,521,395,2773,812,1915,0,2443,2228,5984,755,3963,1580
34483,1600000US1214400,120808,36149,133058,"Coral Springs city, Florida",41396,0,0,3300,2631,2569,5262,1217,267,1437,3890,1277,3555,0,2520,1958,4012,611,1873,2595,47840,0,0,4190,2459,2437,4955,2292,306,1745,2148,385,3931,45,2259,3741,7788,1301,3269,1961
32138,1600000US1216475,98018,34801,105146,"Davie town, Florida",35232,0,0,1896,2029,2436,4933,1783,239,1241,2375,1551,3668,202,1270,1920,3492,454,2204,2230,32947,399,0,1898,975,1810,2983,1451,352,986,2669,962,3429,0,1894,4142,3363,704,2000,1340
29978,1600000US1224000,166776,31082,180071,"Fort Lauderdale city, Florida",56373,139,0,3513,3927,2746,6677,2708,218,2133,3842,2550,4962,45,3969,2060,4441,645,6420,2190,63673,79,0,6511,4098,2107,7713,3193,377,1624,1964,2189,8925,66,3324,3023,6267,1130,5496,3863
14678,1600000US1225175,111223,19985,132253,"Gainesville city, Florida",24002,119,0,506,940,451,1861,466,259,673,766,1063,1103,0,228,5739,4965,668,1729,1644,39802,205,0,1610,1392,116,3690,870,416,799,736,1087,2117,0,1280,8678,10067,318,3442,1916
20983,1600000US1230000,215692,22756,239682,"Hialeah city, Florida",73969,150,0,8945,11023,4319,8233,7739,151,731,3709,1931,2513,0,3892,2959,7805,336,2831,1370,86415,157,0,9391,10230,5193,9899,9824,740,2123,3652,1876,2896,0,5741,2703,7648,1117,4432,1759
30107,1600000US1232000,139258,30887,153625,"Hollywood city, Florida",43906,0,0,4321,2200,1381,4818,2436,158,992,2303,1857,5167,0,2519,2675,4488,780,2931,2548,52559,334,0,4367,1520,2839,6066,2546,392,984,2118,1709,4769,199,2724,4482,6574,2013,3459,2575
30546,1600000US1235000,808526,31470,892064,"Jacksonville city, Florida",271769,110,59,25860,19934,12440,28735,22774,1519,6607,28140,5147,16041,620,14495,11696,33267,2844,10928,20794,314529,283,213,27201,21711,6635,32674,20610,2545,6231,36485,6762,20356,280,19069,17825,43535,4693,16402,16750
25529,1600000US1238250,91947,31338,108051,"Lakeland city, Florida",27622,200,71,2802,1975,572,5208,960,235,601,1745,701,1360,60,483,1991,3745,1021,2154,899,35285,314,26,2080,4034,1079,5777,1678,172,531,2333,880,1956,43,2072,2194,5028,396,1566,1431
24957,1600000US1239925,68925,25368,132618,"Lehigh Acres CDP, Florida",21496,40,0,4266,1486,1041,1754,423,520,41,802,754,678,0,1150,826,3481,587,1311,1180,39937,1082,331,6824,1703,816,5086,2576,277,346,1027,1329,623,0,3460,1717,5796,388,2763,2421
20458,1600000US1245000,348827,26794,463354,"Miami city, Florida",110959,295,0,17451,5465,4127,11625,5855,616,2901,4150,4444,7199,0,7447,4492,11489,725,10150,4302,180424,860,0,18957,6820,5540,15912,14465,894,2667,9871,7733,13398,83,11252,10364,20743,2668,21420,5383
26024,1600000US1245060,112259,26299,113743,"Miami Gardens city, Florida",36580,380,0,2282,1923,1841,3884,3215,140,758,1796,358,728,78,3017,3116,5437,797,1727,3042,38176,0,0,2451,1506,1253,5341,4823,115,667,856,614,889,85,3324,2443,4778,770,2550,2597
33213,1600000US1245975,120144,37561,140323,"Miramar city, Florida",43864,0,0,2200,2383,2139,5783,3949,200,1283,3962,1858,2553,160,1905,2375,6408,394,2142,2626,56102,0,0,2693,3451,1248,4069,3419,667,1246,2597,883,5092,0,5134,4608,10968,852,3888,2955
26304,1600000US1253000,223801,27568,280258,"Orlando city, Florida",81708,79,0,10923,3612,2573,7387,3562,295,3004,4739,3405,6862,68,6091,2024,8394,4945,7613,2545,105109,373,0,5430,5928,2840,10835,5303,425,1716,4176,5731,10838,199,5888,5451,12337,6374,11937,4069
24552,1600000US1254000,102153,26263,111660,"Palm Bay city, Florida",28965,0,0,3354,3688,603,3981,1482,259,404,983,277,1782,185,2673,969,4358,289,1774,1337,38284,0,0,2994,3619,1203,5381,1116,246,869,1637,825,2180,0,3770,1676,7509,685,1898,1384
35814,1600000US1255775,164839,40596,170703,"Pembroke Pines city, Florida",52673,74,0,4724,2835,1966,6211,4939,502,2248,4278,1437,2622,0,1671,4054,5440,518,1552,5023,67434,91,0,5887,3143,2725,7117,5215,432,1200,4523,1797,4877,45,2447,4918,9576,689,4911,5821
22426,1600000US1258050,103611,27575,110464,"Pompano Beach city, Florida",33001,0,0,5227,3159,1671,4134,1744,39,1354,1088,1443,1477,0,2370,1033,2105,42,3102,591,36610,136,28,4730,3718,1567,2774,1144,202,837,2024,883,2762,0,2920,1356,4584,986,3222,1144
28051,1600000US1258715,152384,29254,189331,"Port St. Lucie city, Florida",47008,226,52,9197,1795,827,8046,1780,1082,1029,1954,1569,1253,0,4053,1912,5949,542,1545,2647,59337,74,0,6750,3658,1813,7632,2950,860,257,1906,564,1725,0,4870,2765,10482,1293,4962,2577
28425,1600000US1263000,236605,32490,263252,"St. Petersburg city, Florida",83547,63,0,5101,7806,1721,8855,3092,568,2834,6821,2358,6685,54,4910,4157,13276,991,4807,5062,96503,91,275,5024,7469,2047,7917,3383,724,1598,7866,2913,10663,152,3157,8185,16688,1116,6733,4572
25738,1600000US1268350,96940,27643,113508,"Spring Hill CDP, Florida",24469,0,0,2599,1033,1346,4250,1261,153,587,825,743,1283,0,814,897,3314,643,1962,1630,31277,0,0,2025,2761,766,5083,1661,571,445,1270,1331,1948,55,2595,1700,4768,358,1064,1703
21145,1600000US1270600,161929,23215,191039,"Tallahassee city, Florida",50175,323,0,1951,1757,617,3799,1167,298,1234,2769,460,5577,0,1527,6041,5249,429,2524,11319,63053,166,0,1889,1975,206,6134,1559,36,765,2094,1351,7216,0,2699,8573,8155,934,3836,13095
26413,1600000US1271000,334093,31003,385423,"Tampa city, Florida",99010,317,0,8662,5556,4013,9680,5495,583,3667,9726,2939,9488,196,5137,5313,12668,1442,5033,4787,136876,166,82,9464,7521,3598,10732,4858,1147,3896,12596,5908,15016,82,7611,12552,20871,2716,9728,4794
26033,1600000US1276600,88525,27536,110219,"West Palm Beach city, Florida",29275,203,0,3599,1759,1361,3462,1293,186,715,1404,1702,1569,0,2373,1019,3286,312,2058,1831,38325,0,0,2378,2103,1056,3618,1897,288,1273,1878,1850,2819,76,2134,1653,5523,1940,4731,1029
18718,1600000US1303440,112672,21310,125929,"Athens-Clarke County unified government (balance), Georgia",30599,444,0,2621,3505,650,2635,545,119,229,1135,720,1372,124,562,5960,4544,467,2895,1450,35654,144,31,1655,5558,1087,4397,705,152,270,1029,405,2055,0,960,7404,2943,490,3325,1315
31941,1600000US1304000,432511,37612,486299,"Atlanta city, Georgia",140717,151,58,5926,7163,4085,14720,7490,672,6726,10173,6224,21399,583,5798,11157,12158,2405,10743,7152,187038,382,47,6203,9563,3783,16537,11306,1363,9529,11218,7181,30011,627,8749,14994,19547,5552,11790,10183
22966,1600000US1304204,191615,23165,195678,"Augusta-Richmond County consolidated government (balance), Georgia",45867,52,0,2867,6360,1069,6631,2315,313,561,1443,990,2041,0,2027,2797,8866,300,1951,3881,52059,379,0,2666,5942,835,6376,1528,643,1083,1125,1349,2523,0,2796,4795,10893,23,2785,3231
25462,1600000US1319000,187046,26703,194058,"Columbus city, Georgia",49401,405,75,2531,3745,1270,4680,993,259,867,7869,1314,1706,111,1280,2979,8427,507,4356,3848,53085,187,0,2456,4851,1053,6151,2147,295,1303,5438,1313,2680,0,1954,3987,7976,288,5176,3591
38380,1600000US1368516,109321,46505,106742,"Sandy Springs city, Georgia",48701,0,0,3099,3036,2981,4581,896,165,2132,5034,1662,6745,262,2196,2792,5392,801,3746,1513,51198,116,0,2567,3005,1237,4586,965,640,2475,4555,1855,9100,218,1757,2339,5293,946,5205,1189
