GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23
1600000US0682954,0682954,"Visalia city, California",53493,4261,28777,2534,24716,2549,30734,4106,36778,2758,25718,2868,34289,3876,20571,2557,13718,2205,1.5,0.8,0.5,0.6,3.0,1.9,7.4,2.6,8.1,3.8,6.5,3.7,16.1,4.2,12.7,4.2,21.3,7.0,16.2,4.6,12.1,5.9,22.4,5.7,19.3,3.9,19.5,4.6,18.9,6.4,13.3,3.1,15.0,3.9,10.6,4.3,8.0,2.7,9.1,3.9,6.2,3.2,8.2,2.5,9.5,3.5,6.2,2.8,10.1,2.7,13.5,3.8,4.9,3.8,(X),(X),46786,4881,33206,4633,52759,5170,60383,8003,41328,4157,36320,2490,43361,3744,29338,4405,20753,5315,22172,3923,15280,4015,37434,10405,44263,4618,28750,4532,31403,6436,48694,6377,19779,5589,49183,6182,47463,8885,50027,9374,67039,11241,63011,14514,70385,17600,19.9,(X),(X),(X),(X),(X)
1600000US0682996,0682996,"Vista city, California",54227,6314,32363,3900,21864,2951,25102,2265,27857,2943,20178,3103,32325,4512,21586,3087,10739,1951,1.3,1.3,1.5,1.7,1.0,1.2,8.8,3.4,7.8,3.6,10.9,7.5,21.7,4.9,22.6,5.7,20.0,7.3,19.4,4.1,17.5,4.8,23.3,8.0,24.7,5.3,24.8,5.7,24.4,8.2,9.4,2.8,7.9,3.3,12.4,4.8,2.8,1.5,3.2,1.9,1.9,1.9,7.3,2.6,8.5,3.4,4.7,3.7,4.5,1.9,6.1,2.8,1.5,1.5,(X),(X),35121,2962,33028,4521,40259,3298,41899,3853,36961,3860,30314,2905,34770,3466,25728,2586,20817,3030,23784,3972,12143,2938,26664,3409,29211,5483,19856,10000,36824,3277,45535,3468,30557,6827,41640,6751,43717,13027,40625,5311,71107,10026,85989,22200,56437,11178,17.0,(X),(X),(X),(X),(X)
1600000US0684200,0684200,"West Covina city, California",55110,4541,28211,3008,26899,2429,30940,2711,39527,4885,22663,3093,33181,3416,19052,2563,14129,1902,3.3,2.0,2.7,2.0,4.1,3.7,6.8,3.5,7.5,5.1,5.8,3.8,14.5,3.9,8.7,4.4,22.4,5.8,14.8,4.3,13.5,5.1,16.5,6.8,20.8,4.2,21.1,5.8,20.4,7.0,15.6,3.4,18.3,5.2,11.9,4.5,6.1,2.2,7.5,3.5,4.3,2.6,10.6,2.8,13.2,4.3,7.2,3.5,7.4,2.8,7.5,3.6,7.3,3.9,(X),(X),45284,6717,35363,2637,50677,4144,56658,5976,42613,4190,35929,1924,42730,4008,26626,3205,24500,14424,31873,8331,17620,9063,27456,4432,42122,6917,20018,7131,37072,4289,46081,6239,27168,10080,44640,10061,42344,11978,50170,19510,70566,7972,76877,17860,58256,13048,14.2,(X),(X),(X),(X),(X)
1600000US0684550,0684550,"Westminster city, California",44827,3836,24061,2278,20766,2287,30861,1325,35167,5101,26420,1527,30929,3633,18159,2094,12770,2122,1.4,0.8,1.5,1.1,1.3,1.2,5.4,2.4,4.1,2.4,7.4,3.5,20.1,4.7,20.5,6.2,19.6,6.6,19.6,4.5,15.7,4.8,25.2,6.6,23.8,4.7,24.1,5.7,23.4,6.2,10.5,3.0,10.0,3.2,11.2,6.2,5.1,2.0,6.9,3.2,2.6,1.8,7.3,2.6,8.2,3.4,6.1,3.6,6.7,3.1,9.1,4.1,3.3,2.9,(X),(X),37424,5216,31827,3866,46482,5204,52009,6874,38622,4200,31857,1677,36205,1728,27296,2599,21834,1655,23728,7182,20055,4851,26201,3381,31745,3926,20837,5536,40698,6305,49487,4295,33369,6060,41401,5750,44272,8761,39857,5559,55722,8332,51051,22005,56228,2324,16.4,(X),(X),(X),(X),(X)
1600000US0685292,0685292,"Whittier city, California",42943,4577,23771,3005,19172,2684,32974,2595,39643,5088,26741,3233,24329,3070,15589,2257,8740,1579,0.8,1.4,1.3,2.2,0.0,2.2,5.3,3.2,3.6,3.6,8.3,5.6,12.5,3.5,11.6,4.5,14.1,5.5,17.3,4.3,15.1,4.9,21.3,8.7,19.5,3.9,20.8,5.2,17.2,6.8,17.0,5.0,17.9,6.5,15.3,6.1,7.0,3.3,7.4,3.7,6.3,4.4,7.8,2.4,7.0,3.0,9.3,5.0,12.7,4.4,15.2,5.9,8.2,5.5,(X),(X),46586,5972,41312,3771,56679,5107,60052,6862,50664,7351,39238,4546,43628,4392,31777,2974,14633,4058,16593,5313,9670,2099,33673,3922,40248,5599,28709,5962,43476,3628,50279,5694,34172,8062,55992,9853,66326,14720,50123,25823,66351,10386,71858,22805,54912,17964,19.8,(X),(X),(X),(X),(X)
1600000US0686832,0686832,"Yorba Linda city, California",34809,3274,18619,1851,16190,1811,46135,4287,65285,8092,36313,4529,20626,2250,12364,1436,8262,1208,1.2,0.9,1.2,1.1,1.2,1.5,1.6,1.2,2.6,1.9,0.0,2.4,4.9,2.4,2.6,2.6,8.4,4.8,8.9,3.6,5.0,3.3,14.9,6.8,17.5,4.3,13.4,4.6,23.7,6.1,11.0,2.9,10.6,3.1,11.7,5.1,8.4,3.5,9.2,4.4,7.3,4.7,14.6,3.9,14.3,5.3,15.0,5.6,31.8,5.1,41.2,7.9,17.9,5.7,(X),(X),80302,14088,51074,9049,85857,8155,100160,12163,64453,6366,60489,4501,77543,8324,41686,2756,40235,12259,43914,44465,34509,16510,41070,6277,65363,6908,33990,11361,46266,5178,59725,8588,39989,6514,72408,7196,97552,18573,53817,16090,83988,10398,"100,000+",***,70342,12143,10.7,(X),(X),(X),(X),(X)
1600000US0803455,0803455,"Arvada city, Colorado",64820,4370,33003,2152,31817,3010,33445,3121,42218,2965,24866,3591,38778,3118,22631,1972,16147,2035,2.6,1.5,2.3,1.6,3.2,3.0,1.8,1.0,2.1,1.5,1.3,1.1,12.2,2.6,7.2,2.8,19.2,4.9,14.2,2.6,8.9,2.8,21.6,4.7,25.3,3.5,26.0,4.3,24.3,5.2,16.7,2.9,19.2,3.8,13.2,3.6,7.3,1.6,8.2,2.1,5.9,2.6,11.7,2.2,14.9,3.2,7.2,3.2,8.2,2.1,11.0,3.1,4.2,1.8,(X),(X),51368,2126,39246,4305,52835,2453,59517,3112,43470,3206,41217,1201,49766,3301,31413,1916,25717,10233,42111,11421,12144,12521,35474,4733,45497,4379,20237,2316,39539,2944,45584,4478,31668,2295,47668,5694,65016,5739,40509,3235,60869,3702,75478,17293,54183,5543,12.1,(X),(X),(X),(X),(X)
1600000US0804000,0804000,"Aurora city, Colorado",169568,5994,91082,4130,78486,3671,29270,1739,32376,2059,26075,1602,106959,5433,60744,3760,46215,3327,4.5,1.4,4.8,2.1,4.1,1.6,7.5,2.1,6.4,2.2,8.9,3.1,16.1,2.3,15.4,2.7,16.9,3.4,17.6,2.2,15.3,2.6,20.6,3.2,27.4,2.6,27.9,3.4,26.9,3.7,12.1,1.6,12.9,2.2,11.0,2.2,3.9,1.1,3.7,1.3,4.2,1.6,5.1,0.8,5.8,1.1,4.1,1.2,5.9,1.1,7.8,1.7,3.3,1.1,(X),(X),38634,2196,34708,2295,43020,1973,46652,2950,38247,1795,32933,1685,36160,1337,29526,1651,16737,1129,18358,2316,14368,4030,27736,2816,29354,4018,25919,3762,35537,1835,40193,2148,30783,2404,40862,1210,44549,4061,37496,3747,54141,8680,61151,14234,48905,6024,10.8,(X),(X),(X),(X),(X)
1600000US0807850,0807850,"Boulder city, Colorado",68559,3655,38352,2478,30207,2127,20482,2449,21875,3004,16675,3607,27078,2704,17540,1963,9538,1634,1.7,1.2,2.0,1.6,1.0,1.2,4.4,2.3,6.0,3.4,1.6,1.7,12.9,3.9,10.6,4.3,17.0,7.7,12.5,3.2,12.0,4.2,13.6,5.0,16.9,3.8,14.9,4.2,20.4,7.0,13.5,3.1,11.8,3.6,16.7,5.4,4.9,1.8,4.8,2.5,5.1,3.0,11.3,3.1,11.1,4.1,11.7,4.8,21.9,3.7,26.8,5.1,12.9,4.0,(X),(X),52329,6156,45972,7838,75940,9455,83907,13392,61290,9259,36598,5173,46856,5316,27460,4174,16715,6293,25064,19099,15855,4694,23516,7585,27168,7138,11561,11134,23048,4003,27028,4904,21267,3015,36893,8197,49092,9892,28983,5078,57106,7694,80099,12572,40847,9117,14.0,(X),(X),(X),(X),(X)
1600000US0812815,0812815,"Centennial city, Colorado",62411,4050,32760,2366,29651,2519,37147,2431,48017,5689,30595,2605,35960,3125,20622,2018,15338,1965,0.9,0.6,0.5,0.6,1.4,1.2,1.7,0.9,1.8,1.2,1.5,1.2,8.4,2.8,7.0,3.6,10.2,4.5,13.0,3.1,9.1,4.1,18.1,5.0,20.5,3.3,15.8,3.8,26.8,4.6,14.8,2.7,12.2,3.3,18.3,4.6,9.2,1.8,10.8,3.1,7.1,2.1,13.7,2.6,18.8,4.2,6.9,2.4,17.9,3.1,24.0,4.3,9.6,3.1,(X),(X),68457,5180,42172,4948,66957,4043,78298,5494,51710,3620,43400,3047,60102,7369,35084,2669,25980,1711,23906,11780,26204,749,33301,3692,37036,8991,31162,5098,36080,3443,45823,9574,28557,4579,51729,4947,69890,4781,36596,2326,65427,11143,84937,21944,54839,11842,6.7,(X),(X),(X),(X),(X)
